,age,time_since_last_disturbance,last_disturbance_type,identifier,timestep,area,Species
6401,28,1,2,17,149,1.4551915228366852e-11,CF
6402,29,1,2,18,149,3.637978807091713e-12,CF
6403,28,1,2,19,149,1.4551915228366852e-11,CF
6404,28,1,2,20,149,3.637978807091713e-12,CF
6405,27,1,2,21,149,3.637978807091713e-12,CF
6406,29,2,2,22,149,7.275957614183426e-12,CF
6407,28,1,2,23,149,7.275957614183426e-12,CF
6408,29,2,2,24,149,1.4551915228366852e-11,CF
6409,28,1,2,25,149,3.637978807091713e-12,CF
6410,29,2,2,26,149,1.8189894035458565e-11,CF
6411,27,1,2,27,149,3.637978807091713e-12,CF
6412,29,2,2,28,149,4.552358490173006e-12,CF
6413,28,1,2,29,149,305.99999999997453,CF
6414,29,1,2,30,149,1.4551915228366852e-11,CF
6415,29,2,2,31,149,3.2741809263825417e-11,CF
6416,28,2,2,32,149,305.99999999996,CF
6417,29,2,2,33,149,4.409361764601273e-12,CF
6418,29,1,2,34,149,1.0550138540565968e-10,CF
6419,29,1,2,35,149,3.974820472762943e-12,CF
6420,28,2,2,36,149,9.822542779147625e-11,CF
6421,28,2,2,37,149,3.637978807091713e-12,CF
6422,28,2,2,38,149,305.9999999999953,CF
6423,29,1,2,39,149,3.635092227227601e-12,CF
6424,28,2,2,40,149,3.637978807091713e-12,CF
6425,29,1,2,41,149,305.9999999999966,CF
6426,29,1,2,42,149,7.270184454455116e-12,CF
6427,28,2,2,43,149,305.9999999999893,CF
6428,29,1,2,44,149,305.9999999999709,CF
6429,29,1,2,45,149,305.99999999997453,CF
6430,28,2,2,46,149,305.9999999999827,CF
6431,29,1,2,47,149,306.0000000000002,CF
6432,29,3,2,48,149,4.722222612940658e-12,CF
6433,29,3,2,49,149,3.2274183325852877e-12,CF
6434,28,2,2,50,149,3.637978807091713e-12,CF
6435,29,1,2,51,149,3.6350922272276443e-12,CF
6436,28,2,2,52,149,305.99999999996845,CF
6437,28,2,2,53,149,305.99999999998624,CF
6438,29,1,2,54,149,305.9999999999782,CF
6439,28,2,2,55,149,305.9999999999817,CF
6440,27,1,2,56,149,305.999999999993,CF
6441,29,1,2,57,149,3.637978807091713e-12,CF
6442,28,2,2,58,149,305.99999999991167,CF
6443,29,1,2,59,149,305.9999999999345,CF
6444,28,2,2,60,149,305.9999999999673,CF
6445,29,3,2,61,149,1.8990808925422526e-11,CF
6446,28,2,2,62,149,1.1245004927218105e-11,CF
6447,29,2,2,63,149,1.4551915228366852e-11,CF
6448,29,2,2,64,149,3.637978807091712e-12,CF
6449,28,2,2,65,149,306.00000000000034,CF
6450,28,2,2,66,149,1.4166667838821399e-11,CF
6451,29,1,2,67,149,3.6350922272274282e-12,CF
6452,28,1,2,68,149,3.637978807091712e-12,CF
6453,29,2,2,69,149,3.637978807091713e-12,CF
6454,28,1,2,70,149,305.99999999989086,CF
6455,29,2,2,71,149,305.99999999997453,CF
6456,29,2,2,72,149,305.9999999998872,CF
6457,28,1,2,73,149,2.1844526187918356e-11,CF
6458,29,3,2,74,149,305.9999999999744,CF
6459,180,180,1,1,150,6752.6,MF
6460,200,200,1,2,150,26295.0,BL
6461,29,1,2,3,150,18328.000000000127,CF
6462,30,2,2,4,150,19246.000000000004,CF
6463,29,2,2,5,150,2.9103830456733704e-11,CF
6464,30,1,2,6,150,3.637978807091713e-12,CF
6465,29,2,2,7,150,3.637978807091713e-12,CF
