,identifier,timestep,area,Species
651,27,37,305.99999999999665,CF
652,1,38,6752.6,MF
653,2,38,26295.0,BL
654,3,38,19246.000000000007,CF
655,4,38,19858.000000000007,CF
656,5,38,305.99999999999756,CF
657,6,38,305.9999999999967,CF
658,7,38,305.9999999999967,CF
659,8,38,305.99999999999716,CF
660,9,38,3.637978807091713e-12,CF
661,10,38,3.637978807091713e-12,CF
662,11,38,305.9999999999996,CF
663,12,38,3.637978807091713e-12,CF
664,13,38,306.0,CF
665,14,38,306.0000000000002,CF
666,15,38,3.637978807091713e-12,CF
667,16,38,305.99999999999636,CF
668,17,38,306.0000000000009,CF
669,18,38,3.637978807091713e-12,CF
670,19,38,305.9999999999999,CF
671,20,38,305.9999999999989,CF
672,21,38,3.637978807091713e-12,CF
673,22,38,305.99999999999625,CF
674,23,38,305.9999999999966,CF
675,24,38,305.99999999999596,CF
676,25,38,305.9999999999935,CF
677,26,38,305.99999999999636,CF
678,27,38,305.99999999999665,CF
679,28,38,4.552358490173006e-12,CF
680,1,39,6752.6,MF
681,2,39,26295.0,BL
682,3,39,19246.000000000007,CF
683,4,39,19858.000000000007,CF
684,5,39,305.99999999999756,CF
685,6,39,305.9999999999967,CF
686,7,39,305.9999999999967,CF
687,8,39,305.99999999999716,CF
688,9,39,3.637978807091713e-12,CF
689,10,39,3.637978807091713e-12,CF
690,11,39,1.0913936421275137e-11,CF
691,12,39,3.637978807091713e-12,CF
692,13,39,306.0,CF
693,14,39,306.0000000000002,CF
694,15,39,3.637978807091713e-12,CF
695,16,39,305.99999999999636,CF
696,17,39,306.0000000000009,CF
697,18,39,3.637978807091713e-12,CF
698,19,39,305.9999999999999,CF
699,20,39,305.9999999999989,CF
700,21,39,3.637978807091713e-12,CF
701,22,39,305.99999999999625,CF
702,23,39,305.9999999999966,CF
703,24,39,305.99999999999596,CF
704,25,39,305.9999999999935,CF
705,26,39,305.99999999999636,CF
706,27,39,305.99999999999665,CF
707,28,39,4.552358490173006e-12,CF
708,29,39,305.9999999999887,CF
709,1,40,6752.6,MF
710,2,40,26295.0,BL
711,3,40,19246.000000000007,CF
712,4,40,19858.000000000007,CF
713,5,40,305.99999999999756,CF
714,6,40,305.9999999999967,CF
715,7,40,305.9999999999967,CF
716,8,40,305.99999999999716,CF
717,9,40,3.637978807091713e-12,CF
718,10,40,3.637978807091713e-12,CF
719,11,40,1.0913936421275137e-11,CF
720,12,40,3.637978807091713e-12,CF
721,13,40,306.0,CF
722,14,40,306.0000000000002,CF
723,15,40,3.637978807091713e-12,CF
724,16,40,305.99999999999636,CF
725,17,40,306.0000000000009,CF
726,18,40,3.637978807091713e-12,CF
727,19,40,305.9999999999999,CF
728,20,40,305.9999999999989,CF
729,21,40,3.637978807091713e-12,CF
730,22,40,7.275957614183426e-12,CF
731,23,40,305.9999999999966,CF
732,24,40,305.99999999999596,CF
733,25,40,305.9999999999935,CF
734,26,40,305.99999999999636,CF
735,27,40,305.99999999999665,CF
736,28,40,4.552358490173006e-12,CF
737,29,40,305.9999999999887,CF
738,30,40,305.999999999989,CF
739,1,41,6752.6,MF
740,2,41,26295.0,BL
741,3,41,19246.000000000007,CF
742,4,41,19858.000000000007,CF
743,5,41,305.99999999999756,CF
744,6,41,305.9999999999967,CF
745,7,41,305.9999999999967,CF
746,8,41,305.99999999999716,CF
747,9,41,3.637978807091713e-12,CF
748,10,41,3.637978807091713e-12,CF
749,11,41,1.0913936421275137e-11,CF
750,12,41,3.637978807091713e-12,CF
751,13,41,306.0,CF
752,14,41,306.0000000000002,CF
753,15,41,3.637978807091713e-12,CF
754,16,41,305.99999999999636,CF
755,17,41,306.0000000000009,CF
756,18,41,3.637978807091713e-12,CF
